system,clip_id,script,n_ref_words,n_hyp,wer,cpwer,di_cpwer,cp_minus_di_cp,wder,hits,sub,del,ins,errors,cphits,cpsub,cpdel,cpins,cpn_ref_words,cperrors,cp_mapping,di_cphits,di_cpsub,di_cpdel,di_cpins,di_cpn_ref_words,di_cperrors,wder_num,wder_denom,wder_correct_wrong_spk,wder_sub_wrong_spk
sarvam-saaras-v3@reverb-v2,0AEEA8NyVwY__11_609,Devanagari,1303,1218,0.20951650038372985,0.21488871834228704,0.20951650038372985,0.0053722179585571905,0.008361204013377926,1052,144,107,22,273,1049,143,111,26,1303,280,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",1052,144,107,22,1303,273,10,1196,3,7
sarvam-saaras-v3@reverb-v2,0SoItGfM_sY__7_88,Kannada,165,167,0.14545454545454545,0.47878787878787876,0.14545454545454545,0.3333333333333333,0.19631901840490798,145,18,2,4,24,122,9,34,36,165,79,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_01': 'Speaker_D', 'SPEAKER_00': 'Speaker_E'}",145,18,2,4,165,24,32,163,23,9
sarvam-saaras-v3@reverb-v2,0VEwL9XZ0LY__261_557,Devanagari,868,821,0.2569124423963134,0.2891705069124424,0.2569124423963134,0.032258064516129004,0.03366583541147132,664,138,66,19,223,648,142,78,31,868,251,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",664,138,66,19,868,223,27,802,18,9
sarvam-saaras-v3@reverb-v2,0esIFSOAcFs__0_913,Gujarati,2697,2636,0.17982944011865035,0.20133481646273638,0.17982944011865035,0.02150537634408603,0.016731517509727626,2278,292,127,66,485,2248,294,155,94,2697,543,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C'}",2278,292,127,66,2697,485,43,2570,33,10
sarvam-saaras-v3@reverb-v2,0p6cktLGIfY__12_930,Gujarati,2532,2497,0.22946287519747235,0.3135860979462875,0.22946287519747235,0.08412322274881515,0.07252382925818483,2035,378,119,84,581,1914,407,211,176,2532,794,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_03': 'Speaker_C', 'SPEAKER_02': 'Speaker_E'}",2035,378,119,84,2532,581,175,2413,141,34
sarvam-saaras-v3@reverb-v2,13VBh0Z6QmE__0_904,Tamil,2396,2353,0.2141068447412354,0.31803005008347246,0.2141068447412354,0.10392320534223706,0.09237472766884532,1941,354,101,58,513,1820,347,229,186,2396,762,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_03': 'Speaker_B', 'SPEAKER_01': 'Speaker_C', 'SPEAKER_02': 'Speaker_D'}",1941,354,101,58,2396,513,212,2295,139,73
sarvam-saaras-v3@reverb-v2,1LFl5JEipII__0_597,Bengali,1554,1518,0.333976833976834,0.5791505791505791,0.333976833976834,0.24517374517374513,0.1943859649122807,1128,297,129,93,519,917,338,299,263,1554,900,"{'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C', 'SPEAKER_02': 'Speaker_D', 'SPEAKER_03': 'Speaker_E'}",1128,297,129,93,1554,519,277,1425,194,83
sarvam-saaras-v3@reverb-v2,2HGP34TNvjg__84_194,Oriya,290,288,0.25517241379310346,0.33448275862068966,0.25517241379310346,0.0793103448275862,0.07194244604316546,226,52,12,10,74,216,49,25,23,290,97,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",226,52,12,10,290,74,20,278,11,9
sarvam-saaras-v3@reverb-v2,2LN6vb7EBn0__98_394,Tamil,727,712,0.23383768913342504,0.4140302613480055,0.23383768913342504,0.1801925722145805,0.11047345767575323,572,125,30,15,170,509,120,98,83,727,301,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_02': 'Speaker_C'}",572,125,30,15,727,170,77,697,61,16
sarvam-saaras-v3@reverb-v2,2T4pjueLrsk__677_1290,Gujarati,2286,1716,0.5118110236220472,0.6329833770778652,0.5118110236220472,0.121172353455818,0.1658711217183771,1156,520,610,40,1170,984,587,715,145,2286,1447,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C'}",1156,520,610,40,2286,1170,278,1676,169,109
