clip_id,speaker,start,end,dur,miss_sec,miss_pct,abs_start,video_id,verdict,note
QuA_B6IZ6Ls__61_1863,Speaker_D,108.11,1035.13,927.02,546.07,59,169.1,QuA_B6IZ6Ls,,
83gP2vLH7UY__255_2005,Speaker_B,360.83,435.27,74.44,4.29,6,615.8,83gP2vLH7UY,,
BYLcUGNB_zM__20_1387,Speaker_D,925.99,998.83,72.84,2.7,4,946.0,BYLcUGNB_zM,,
83gP2vLH7UY__255_2005,Speaker_D,493.17,559.29,66.12,2.25,3,748.2,83gP2vLH7UY,,
83gP2vLH7UY__255_2005,Speaker_C,989.97,1065.71,75.74,1.57,2,1245.0,83gP2vLH7UY,,
83gP2vLH7UY__255_2005,Speaker_E,625.79,701.27,75.48,1.55,2,880.8,83gP2vLH7UY,,
HpYG46tGyYs__103_998,Speaker_D,167.21,290.37,123.16,1.05,1,270.2,HpYG46tGyYs,,
8o7jKmq6HsM__30_1770,Speaker_D,1567.06,1641.91,74.85,0.79,1,1597.1,8o7jKmq6HsM,,
J4-VpEkBzWw__0_600,Speaker_F,369.83,433.25,63.42,0.66,1,369.8,J4-VpEkBzWw,,
8o7jKmq6HsM__30_1770,Speaker_F,621.38,695.49,74.11,0.63,1,651.4,8o7jKmq6HsM,,
BYLcUGNB_zM__20_1387,Speaker_A,0.01,99.21,99.2,0.41,0,20.0,BYLcUGNB_zM,,
BYLcUGNB_zM__20_1387,Speaker_C,1063.23,1143.99,80.76,0.3,0,1083.2,BYLcUGNB_zM,,
BYLcUGNB_zM__20_1387,Speaker_B,811.67,901.55,89.88,0.24,0,831.7,BYLcUGNB_zM,,
HpYG46tGyYs__103_998,Speaker_C,694.99,755.09,60.1,0.15,0,798.0,HpYG46tGyYs,,
F2uXav-wriA__0_907,Speaker_A,77.61,137.61,60.0,0.03,0,77.6,F2uXav-wriA,,
BYLcUGNB_zM__20_1387,Speaker_B,259.33,378.41,119.08,0,0,279.3,BYLcUGNB_zM,,
