clip_id,start,end,dur,fa_sec,covered_pct,abs_start,video_id,tail,verdict,note
Cku_X_SL7qU__60_660,509.69,600.0,90.31,88.19,90,569.7,Cku_X_SL7qU,True,,
QuA_B6IZ6Ls__61_1863,24.34,54.03,29.69,28.63,96,85.3,QuA_B6IZ6Ls,False,,
QuA_B6IZ6Ls__61_1863,54.83,76.85,22.02,21.16,96,115.8,QuA_B6IZ6Ls,False,,
HpYG46tGyYs__103_998,866.37,880.19,13.82,13.7,99,969.4,HpYG46tGyYs,False,,
Kdi-ECuOaKg__2_78,38.35,49.97,11.62,7.87,68,40.4,Kdi-ECuOaKg,False,,
8mvORuRHw2U__0_1197,424.05,430.83,6.78,7.28,93,424.1,8mvORuRHw2U,False,,
OxYCBQKZ3iY__0_1822,1809.59,1822.0,12.41,6.92,54,1809.6,OxYCBQKZ3iY,True,,
BYLcUGNB_zM__20_1387,490.37,511.79,21.42,4.02,19,510.4,BYLcUGNB_zM,False,,
BYLcUGNB_zM__20_1387,1006.01,1027.55,21.54,4.02,19,1026.0,BYLcUGNB_zM,False,,
87Zbup3ohcw__106_445,116.05,128.47,12.42,3.6,29,222.1,87Zbup3ohcw,False,,
L7xRazDdtgw__19_83,0.0,6.11,6.11,3.48,57,19.0,L7xRazDdtgw,False,,
0p6cktLGIfY__12_930,0.0,6.51,6.51,2.9,45,12.0,0p6cktLGIfY,False,,
JBYGLQJwFDc__103_407,100.51,106.73,6.22,2.33,37,203.5,JBYGLQJwFDc,False,,
Kdi-ECuOaKg__2_78,11.01,17.49,6.48,2.32,36,13.0,Kdi-ECuOaKg,False,,
JBYGLQJwFDc__103_407,86.13,92.87,6.74,2.3,34,189.1,JBYGLQJwFDc,False,,
2T4pjueLrsk__677_1290,177.37,182.65,5.28,2.26,43,854.4,2T4pjueLrsk,False,,
JBYGLQJwFDc__103_407,123.21,129.47,6.26,2.24,36,226.2,JBYGLQJwFDc,False,,
L7xRazDdtgw__19_83,31.12,40.13,9.01,2.23,25,50.1,L7xRazDdtgw,False,,
Gq45evw6ytY__597_1464,747.73,755.79,8.06,2.0,25,1344.7,Gq45evw6ytY,False,,
Kdi-ECuOaKg__2_78,21.31,27.41,6.1,1.98,32,23.3,Kdi-ECuOaKg,False,,
0p6cktLGIfY__12_930,311.61,317.55,5.94,1.72,29,323.6,0p6cktLGIfY,False,,
6ZeRgvDHwcI__6_100,2.39,11.39,9.0,1.4,16,8.4,6ZeRgvDHwcI,False,,
Kdi-ECuOaKg__2_78,0.0,9.61,9.61,1.35,14,2.0,Kdi-ECuOaKg,False,,
1LFl5JEipII__0_597,467.85,475.03,7.18,1.28,18,467.9,1LFl5JEipII,False,,
90uAd6xpTPo__16_408,123.69,141.93,18.24,0.76,4,139.7,90uAd6xpTPo,False,,
GEc_sS2KWo8__96_290,168.45,187.8,19.35,0.64,3,264.4,GEc_sS2KWo8,False,,
FDMf9ApmoNU__16_686,160.49,165.55,5.06,0.62,12,176.5,FDMf9ApmoNU,False,,
GEc_sS2KWo8__96_290,58.43,72.25,13.82,0.62,4,154.4,GEc_sS2KWo8,False,,
CO_8ppdzq9U__0_695,688.89,695.0,6.11,0.08,1,688.9,CO_8ppdzq9U,True,,
8pkp-lpMJP0__326_926,588.25,594.41,6.16,0.07,1,914.2,8pkp-lpMJP0,False,,
1LFl5JEipII__0_597,212.64,220.17,7.53,0.05,1,212.6,1LFl5JEipII,False,,
CO_8ppdzq9U__0_695,89.21,108.89,19.68,0.02,0,89.2,CO_8ppdzq9U,False,,
OxYCBQKZ3iY__0_1822,98.13,103.71,5.58,0,0,98.1,OxYCBQKZ3iY,False,,
OxYCBQKZ3iY__0_1822,111.07,116.75,5.68,0,0,111.1,OxYCBQKZ3iY,False,,
OxYCBQKZ3iY__0_1822,977.65,989.11,11.46,0,0,977.6,OxYCBQKZ3iY,False,,
OxYCBQKZ3iY__0_1822,1130.93,1139.17,8.24,0,0,1130.9,OxYCBQKZ3iY,False,,
PEDfT9-Yf2o__0_469,70.51,75.67,5.16,0,0,70.5,PEDfT9-Yf2o,False,,
PEDfT9-Yf2o__0_469,144.31,178.39,34.08,0.0,0,144.3,PEDfT9-Yf2o,False,,
RZUZyvRzi80__0_336,0.0,7.37,7.37,0,0,0.0,RZUZyvRzi80,False,,
