model,clip_id,script,der,jer,der_miss_sec,der_fa_sec,der_confusion_sec,der_total_sec,n_speakers_ref,n_speakers_hyp,speaker_count_error,speaker_count_correct,der_correct_sec
community-1,0AEEA8NyVwY__11_609,Devanagari,0.15339773130095596,0.1562433235097055,68.01699999999968,15.670999999999719,2.8589999999999938,564.2000000000003,3,3,0,1,493.32400000000064
community-1,0SoItGfM_sY__7_88,Kannada,0.42166261267706373,0.6246292970258006,10.352999999999987,7.963000000000001,11.153999999999996,69.89,5,4,-1,0,48.38300000000001
community-1,0VEwL9XZ0LY__261_557,Devanagari,0.21304392907752465,0.23317924702291962,30.629000000000076,16.856000000000154,14.15499999999997,289.33,2,2,0,1,244.54599999999994
community-1,0esIFSOAcFs__0_913,Gujarati,0.057524208888119224,0.06696958789341499,42.57299999999938,4.03099999999953,6.622000000000071,925.2800000000004,3,3,0,1,876.085000000001
community-1,0p6cktLGIfY__12_930,Gujarati,0.41874653489212965,0.6032547012525274,130.18200000000013,113.82699999999961,103.42500000000024,829.7,6,5,-1,0,596.0929999999997
community-1,13VBh0Z6QmE__0_904,Tamil,0.1243484240429265,0.1838597921928256,38.366999999999095,10.923000000000172,61.01699999999987,887.0799999999992,4,5,1,0,787.6960000000001
community-1,1LFl5JEipII__0_597,Bengali,0.4081207881941482,0.490205757352755,36.56800000000026,29.77599999999958,172.87600000000026,586.1500000000003,5,5,0,1,376.70599999999996
community-1,2HGP34TNvjg__84_194,Oriya,0.29820898476152796,0.3585684859759895,12.470000000000018,7.292000000000004,10.374999999999991,101.06,2,2,0,1,78.215
community-1,2LN6vb7EBn0__98_394,Tamil,0.28620280963502637,0.33826109125141063,27.49599999999998,24.02200000000008,30.584999999999937,286.86999999999995,3,3,0,1,228.78900000000004
community-1,2T4pjueLrsk__677_1290,Gujarati,0.45218167102019907,0.6124958882963178,106.03300000000011,58.79200000000031,80.99000000000012,543.6199999999999,4,4,0,1,356.59699999999975
community-1,2gGHQgj9yno__0_99,Gujarati,0.33074082120356324,0.6501335177726671,9.916000000000018,9.708000000000006,10.824000000000009,92.06,4,2,-2,0,71.31999999999996
community-1,2iMXYxBTwbM__339_401,Devanagari,0.8109768907563022,0.811863360704051,15.279000000000003,14.724999999999982,16.31900000000001,57.12000000000001,3,2,-1,0,25.522000000000002
community-1,37dND_0r6S8__60_222,Tamil,0.4466733811244743,0.5212799766889993,17.946999999999953,17.454000000000033,39.993000000000016,168.78999999999996,2,2,0,1,110.85
community-1,4Qg2jWP6_T0__136_202,Gurmukhi,0.6777493606138111,0.7273240714883218,14.477000000000007,10.432,22.791000000000025,70.38000000000001,3,2,-1,0,33.11199999999998
community-1,6-726qTlYeg__102_162,Malayalam,0.4357932519741564,0.48890984415928185,8.056999999999999,9.245999999999992,13.050000000000008,69.65,2,2,0,1,48.54299999999999
community-1,6ZeRgvDHwcI__6_100,Gujarati,0.6434281200631907,0.6004512236723472,24.731000000000005,9.06999999999999,6.9279999999999955,63.30000000000003,2,2,0,1,31.64100000000003
community-1,6f6TLzlP8Wk__82_144,Gurmukhi,0.5685005943284093,0.6038116325230896,6.926000000000011,8.416000000000004,18.13700000000001,58.89000000000001,2,2,0,1,33.826999999999984
community-1,7L4gi7Ncc0s__90_148,Malayalam,0.16075085324232088,0.2372273582874186,3.5000000000000013,2.4380000000000024,3.0109999999999992,55.669999999999995,2,2,0,1,49.159
community-1,7WhVNRHbjIY__91_1089,Tamil,0.11711341033849484,0.1825724352362804,24.262999999999973,29.107999999999933,63.32900000000002,996.4699999999998,5,5,0,1,908.8779999999998
community-1,7YfsQPYY-W0__351_411,Oriya,0.5777431906614787,0.6257167804450363,9.730999999999991,7.158000000000007,20.231,64.25,2,2,0,1,34.288
community-1,7c9ePKgqams__299_869,Telugu,0.33347610785802106,0.6029287631612893,34.1900000000002,19.435999999999957,130.8930000000001,553.32,4,3,-1,0,388.2369999999998
community-1,7k-xDqNjESc__73_981,Malayalam,0.336870954444681,0.6150130684820458,115.55500000000013,53.72000000000037,133.09700000000058,897.5899999999996,4,3,-1,0,648.9379999999987
community-1,83gP2vLH7UY__255_2005,Devanagari,0.3050249067830629,0.3225856776120799,272.0089999999999,194.42600000000107,156.92000000000132,2043.6199999999978,5,5,0,1,1614.6909999999966
community-1,86mMTUeDiR8__181_1079,Bengali,0.4724772315511721,0.5697654866386923,152.5149999999997,112.4719999999997,123.58299999999997,822.4099999999999,5,5,0,1,546.3120000000001
community-1,87Zbup3ohcw__106_445,Tamil,0.21408714665000877,0.33807453199462506,37.95300000000012,17.553000000000168,13.034000000000038,320.15000000000003,4,4,0,1,269.16299999999984
community-1,8Ve4SWhlrrA__0_70,Oriya,0.07600689547092922,0.5367688634792989,2.782000000000002,0.02599999999999625,2.0419999999999945,63.80999999999999,2,1,-1,0,58.986
community-1,8mvORuRHw2U__0_1197,Gujarati,0.177905151295587,0.21293166670380612,97.25199999999943,44.04700000000008,64.95000000000033,1159.3199999999995,4,4,0,1,997.1179999999998
community-1,8o7jKmq6HsM__30_1770,Devanagari,0.16623225967088423,0.1814991294688285,113.02900000000099,113.62999999999971,67.09999999999926,1767.160000000001,6,6,0,1,1587.0310000000006
community-1,8pkp-lpMJP0__326_926,Telugu,0.3383846253733273,0.5714458276790112,93.6859999999997,32.030999999999814,108.81399999999978,693.0899999999996,8,7,-1,0,490.5900000000001
community-1,8r2Nltl0W4o__259_320,Gurmukhi,0.27123828317710924,0.6183469580071838,3.597999999999998,2.0710000000000095,10.825000000000001,60.80999999999999,2,2,0,1,46.38699999999999
community-1,90uAd6xpTPo__16_408,Devanagari,0.07655711707770534,0.08631435264497182,9.341999999999977,12.639999999999969,6.018000000000004,365.74,4,4,0,1,350.38
community-1,9Aw8kg8w5Xo__0_83,Telugu,0.09814362481680533,0.4954881118306099,3.964000000000027,1.5330000000000084,2.5389999999999873,81.88000000000002,4,3,-1,0,75.377
community-1,9_GMxc_JjyI__236_368,Kannada,0.23812797074954264,0.49457701405937127,10.665,10.384999999999973,11.513999999999989,136.75000000000003,2,2,0,1,114.57100000000003
community-1,ARCKJrGkITw__14_496,Telugu,0.3510185952860362,0.4220942745561213,49.35800000000009,28.683000000000096,99.77799999999998,506.57999999999987,3,3,0,1,357.44399999999985
community-1,ARZl7LT0UC0__73_130,Telugu,0.313913751017087,0.4807260918612397,6.317000000000003,2.932999999999998,10.04,61.45,3,3,0,1,45.093
community-1,A_dohDOK6Ic__0_600,Devanagari,0.06062571339628528,0.06010387900039493,31.77600000000009,2.7500000000000426,0.5289999999999395,578.2199999999999,3,3,0,1,545.9149999999998
community-1,B2ScTgeIIck__117_180,Oriya,0.38042629840888637,0.4280295938048924,10.265000000000002,4.717999999999996,10.361000000000013,66.62,2,2,0,1,45.99399999999998
community-1,BGAAfht5dYw__0_612,Gujarati,0.18004774395095915,0.2638246447137422,60.67200000000017,13.25499999999989,48.25699999999989,678.6200000000002,4,4,0,1,569.691
community-1,BYLcUGNB_zM__20_1387,Kannada,0.11278331479253204,0.16347831388948825,41.54499999999983,28.93299999999995,78.55499999999999,1321.4100000000003,4,4,0,1,1201.3100000000004
community-1,Bngfppo1QtA__28_927,Telugu,0.47454028378047813,0.5192884592584683,139.43800000000135,133.96899999999988,192.13599999999926,981.0400000000004,5,5,0,1,649.4659999999999
