system,clip_id,script,n_ref_words,n_hyp,wer,cpwer,di_cpwer,cp_minus_di_cp,wder,hits,sub,del,ins,wder_num,wder_denom,cp_mapping,attribution_diar,errors,cphits,cpsub,cpdel,cpins,cpn_ref_words,cperrors,di_cphits,di_cpsub,di_cpdel,di_cpins,di_cpn_ref_words,di_cperrors,wder_correct_wrong_spk,wder_sub_wrong_spk
sarvam-saaras-v3@fusion,0AEEA8NyVwY__11_609,Devanagari,1303,1227,0.21028396009209516,0.21412125863392173,0.21028396009209516,0.0038372985418265726,0.0074875207986688855,1054,148,101,25,9,1202,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",fusion,274,1051,149,103,27,1303,279,1054,148,101,25,1303,274,3,6
sarvam-saaras-v3@fusion,0SoItGfM_sY__7_88,Kannada,165,186,0.2545454545454545,0.40606060606060607,0.2545454545454545,0.15151515151515155,0.19631901840490798,146,17,2,23,32,163,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_03': 'Speaker_B', 'SPEAKER_02': 'Speaker_D', 'SPEAKER_00': 'Speaker_E'}",fusion,42,135,14,16,37,165,67,146,17,2,23,165,42,24,8
sarvam-saaras-v3@fusion,0VEwL9XZ0LY__261_557,Devanagari,868,838,0.1728110599078341,0.16820276497695852,0.1728110599078341,-0.004608294930875584,0.018656716417910446,752,52,64,34,15,804,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",fusion,150,748,64,56,26,868,146,752,52,64,34,868,150,8,7
sarvam-saaras-v3@fusion,0esIFSOAcFs__0_913,Gujarati,2697,2698,0.19911012235817574,0.19169447534297368,0.19911012235817574,-0.007415647015202059,0.01744186046511628,2278,302,117,118,45,2580,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C'}",fusion,537,2275,328,94,95,2697,517,2278,302,117,118,2697,537,32,13
sarvam-saaras-v3@fusion,0p6cktLGIfY__12_930,Gujarati,2532,2731,0.30213270142180093,0.32661927330173773,0.30213270142180093,0.024486571879936803,0.07613589848546869,2055,388,89,288,186,2443,"{'SPEAKER_04': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_03': 'Speaker_E', 'SPEAKER_01': 'Speaker_F'}",fusion,765,2000,436,96,295,2532,827,2055,388,89,288,2532,765,144,42
sarvam-saaras-v3@fusion,13VBh0Z6QmE__0_904,Tamil,2396,2617,0.3192821368948247,0.3397328881469115,0.3192821368948247,0.020450751252086785,0.09090909090909091,1938,372,86,307,210,2310,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_04': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_03': 'Speaker_D'}",fusion,765,1902,395,99,320,2396,814,1938,372,86,307,2396,765,138,72
sarvam-saaras-v3@fusion,1LFl5JEipII__0_597,Bengali,1554,2061,0.6351351351351351,0.7734877734877735,0.6351351351351351,0.13835263835263845,0.3319838056680162,1146,336,72,579,492,1482,"{'SPEAKER_03': 'Speaker_A', 'SPEAKER_04': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_00': 'Speaker_D', 'SPEAKER_01': 'Speaker_E'}",fusion,987,1028,357,169,676,1554,1202,1146,336,72,579,1554,987,343,149
sarvam-saaras-v3@fusion,2HGP34TNvjg__84_194,Oriya,290,299,0.30344827586206896,0.31724137931034485,0.30344827586206896,0.01379310344827589,0.06859205776173286,224,53,13,22,19,277,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",fusion,88,221,55,14,23,290,92,224,53,13,22,290,88,10,9
sarvam-saaras-v3@fusion,2LN6vb7EBn0__98_394,Tamil,727,775,0.30536451169188444,0.42090784044016505,0.30536451169188444,0.1155433287482806,0.11505681818181818,576,128,23,71,81,704,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_02': 'Speaker_C'}",fusion,222,528,140,59,107,727,306,576,128,23,71,727,222,60,21
sarvam-saaras-v3@fusion,2T4pjueLrsk__677_1290,Gujarati,2286,1972,0.568241469816273,0.6093613298337708,0.568241469816273,0.04111986001749779,0.20982142857142858,1167,625,494,180,376,1792,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_01': 'Speaker_C', 'SPEAKER_03': 'Speaker_D'}",fusion,1299,1085,695,506,192,2286,1393,1167,625,494,180,2286,1299,176,200
